,State,Peak1DayDeaths,Peak1DayDate,Peak3DayAvgDeaths,Peak3DayAvgDate,Peak7DayAvgDeaths,Peak7DayAvgDate,Peak9DayAvgDeaths,Peak9DayAvgDate
0,Alabama,32.0,5/12/20,23.666666666666668,5/07/20,17.142857142857142,5/12/20,17.555555555555557,5/14/20
1,Alaska,2.0,4/04/20,1.0,4/05/20,0.5714285714285714,4/05/20,0.5555555555555556,4/05/20
2,Arizona,67.0,5/08/20,40.666666666666664,5/08/20,28.857142857142858,5/09/20,25.88888888888889,5/13/20
3,Arkansas,9.0,6/04/20,6.0,6/04/20,4.285714285714286,5/06/20,4.0,5/06/20
4,California,139.0,4/22/20,113.0,4/24/20,83.42857142857143,4/24/20,85.11111111111111,4/23/20
5,Colorado,122.0,4/24/20,63.666666666666664,4/24/20,43.142857142857146,4/24/20,38.44444444444444,4/24/20
6,Connecticut,204.0,4/20/20,139.0,4/22/20,113.85714285714286,4/26/20,107.55555555555556,4/23/20
7,Delaware,15.0,5/16/20,13.0,5/16/20,10.285714285714286,5/18/20,9.444444444444445,5/20/20
8,District of Columbia,19.0,4/30/20,13.666666666666666,4/24/20,12.142857142857142,4/30/20,12.444444444444445,4/30/20
9,Florida,94.0,4/23/20,67.0,5/07/20,50.714285714285715,5/08/20,50.111111111111114,5/06/20
10,Georgia,100.0,4/07/20,61.666666666666664,4/29/20,44.285714285714285,4/20/20,42.55555555555556,4/22/20
11,Hawaii,2.0,4/03/20,1.0,4/03/20,0.8571428571428571,4/27/20,0.7777777777777778,4/11/20
12,Idaho,6.0,4/10/20,4.666666666666667,4/16/20,3.4285714285714284,4/15/20,3.2222222222222223,4/15/20
13,Illinois,191.0,5/13/20,156.33333333333334,5/14/20,116.85714285714286,5/13/20,125.88888888888889,5/13/20
14,Indiana,166.0,5/06/20,91.33333333333333,5/01/20,62.0,5/01/20,59.22222222222222,5/06/20
15,Iowa,26.0,5/20/20,19.0,5/22/20,15.714285714285714,5/26/20,15.666666666666666,5/27/20
16,Kansas,13.0,4/11/20,8.0,4/21/20,5.857142857142857,4/22/20,5.888888888888889,4/21/20
17,Kentucky,20.0,4/07/20,14.0,5/20/20,10.0,4/22/20,9.444444444444445,4/23/20
18,Louisiana,129.0,4/14/20,90.66666666666667,4/16/20,65.85714285714286,4/18/20,65.66666666666667,4/15/20
19,Maine,5.0,4/23/20,3.6666666666666665,4/24/20,2.5714285714285716,4/24/20,2.6666666666666665,4/23/20
20,Maryland,171.0,5/02/20,82.66666666666667,4/20/20,68.57142857142857,5/08/20,64.0,4/26/20
21,Massachusetts,302.0,4/19/20,218.0,4/23/20,189.42857142857142,4/25/20,188.77777777777777,4/29/20
22,Michigan,282.0,6/07/20,170.0,4/24/20,141.85714285714286,4/28/20,140.88888888888889,4/17/20
23,Minnesota,35.0,5/28/20,32.666666666666664,5/29/20,25.0,5/30/20,24.444444444444443,5/28/20
24,Mississippi,32.0,5/05/20,28.666666666666668,5/07/20,19.285714285714285,5/07/20,17.77777777777778,5/09/20
25,Missouri,60.0,4/27/20,28.333333333333332,5/30/20,20.428571428571427,4/27/20,18.333333333333332,5/13/20
26,Montana,4.0,3/30/20,1.6666666666666667,4/01/20,1.0,4/22/20,0.7777777777777778,4/22/20
27,Nebraska,17.0,6/04/20,8.0,5/22/20,5.0,5/20/20,4.888888888888889,5/22/20
28,Nevada,26.0,4/07/20,12.333333333333334,4/30/20,9.714285714285714,4/13/20,9.444444444444445,4/15/20
29,New Hampshire,22.0,5/07/20,13.0,5/09/20,8.285714285714286,5/13/20,7.111111111111111,5/13/20
30,New Jersey,457.0,4/30/20,394.6666666666667,4/30/20,293.2857142857143,4/20/20,300.77777777777777,4/22/20
31,New Mexico,15.0,5/24/20,11.333333333333334,5/14/20,10.285714285714286,5/15/20,9.666666666666666,5/16/20
32,New York,3215.0,4/16/20,2096.3333333333335,4/17/20,1323.4285714285713,4/17/20,1207.0,4/17/20
33,North Carolina,47.0,5/22/20,39.333333333333336,5/29/20,22.857142857142858,6/02/20,23.22222222222222,6/03/20
34,North Dakota,6.0,5/06/20,2.6666666666666665,5/08/20,1.8571428571428572,5/12/20,1.7777777777777777,5/09/20
35,Ohio,138.0,4/29/20,74.33333333333333,4/30/20,49.42857142857143,5/23/20,52.44444444444444,5/06/20
36,Oklahoma,21.0,4/21/20,12.0,4/23/20,8.285714285714286,4/25/20,8.0,4/15/20
37,Oregon,11.0,4/09/20,5.666666666666667,4/09/20,3.7142857142857144,4/11/20,4.111111111111111,4/17/20
38,Pennsylvania,341.0,5/05/20,250.33333333333334,5/07/20,161.85714285714286,5/05/20,171.44444444444446,5/07/20
39,Rhode Island,31.0,4/17/20,23.0,5/28/20,17.428571428571427,5/07/20,17.22222222222222,5/29/20
40,South Carolina,39.0,4/29/20,22.333333333333332,4/30/20,15.142857142857142,5/04/20,14.222222222222221,5/06/20
41,South Dakota,5.0,5/06/20,3.3333333333333335,5/01/20,2.2857142857142856,5/06/20,2.2222222222222223,5/07/20
42,Tennessee,17.0,6/02/20,12.333333333333334,6/04/20,8.285714285714286,4/09/20,8.222222222222221,4/10/20
43,Texas,63.0,5/14/20,48.666666666666664,4/30/20,36.42857142857143,5/15/20,37.0,5/16/20
44,Utah,8.0,5/19/20,4.0,5/21/20,2.7142857142857144,5/23/20,2.7777777777777777,5/13/20
45,Vermont,4.0,4/16/20,3.0,4/18/20,1.8571428571428572,4/18/20,1.6666666666666667,4/18/20
46,Virginia,57.0,5/28/20,43.333333333333336,5/28/20,34.0,5/28/20,32.888888888888886,5/28/20
47,Washington,45.0,4/06/20,30.0,4/06/20,27.428571428571427,4/08/20,27.666666666666668,4/10/20
48,West Virginia,6.0,4/20/20,3.3333333333333335,4/21/20,2.7142857142857144,4/23/20,2.4444444444444446,4/23/20
49,Wisconsin,22.0,5/27/20,17.0,5/29/20,12.857142857142858,6/02/20,12.11111111111111,6/04/20
50,Wyoming,4.0,4/22/20,1.6666666666666667,4/23/20,0.7142857142857143,4/22/20,0.6666666666666666,4/23/20
