State,Peak1DayCases,Peak1DayCasesDate,Peak3DayAvgCases,Peak3DayAvgCasesDate,Peak7DayAvgCases,Peak7DayAvgCasesDate,Peak9DayAvgCases,Peak9DayAvgCasesDate,Peak1DayDeaths,Peak1DayDeathsDate,Peak3DayAvgDeaths,Peak3DayAvgDeathsDate,Peak7DayAvgDeaths,Peak7DayAvgDeathsDate,Peak9DayAvgDeaths,Peak9DayAvgDeathsDate
Alabama,51856.0,1/16/22,22214.0,1/18/22,11379.142857142857,1/17/22,10958.888888888889,1/16/22,309.0,2/03/21,226.0,1/28/21,154.28571428571428,1/29/21,171.22222222222223,2/03/21
Alaska,5479.0,1/14/22,3333.3333333333335,1/14/22,1895.0,1/14/22,1882.2222222222222,1/14/22,66.0,10/19/21,30.0,11/10/21,13.428571428571429,11/10/21,11.444444444444445,11/10/21
Arizona,54666.0,1/17/22,27500.333333333332,1/18/22,20016.285714285714,1/18/22,18690.11111111111,1/18/22,335.0,1/12/21,245.0,1/22/21,175.57142857142858,1/13/21,178.77777777777777,1/13/21
Arkansas,12990.0,1/13/22,11663.666666666666,1/15/22,9737.42857142857,1/16/22,8820.111111111111,1/15/22,167.0,10/10/21,107.33333333333333,10/11/21,55.0,10/13/21,46.0,10/13/21
California,218600.0,1/17/22,155564.0,1/11/22,116004.42857142857,1/14/22,120307.55555555556,1/17/22,1174.0,2/24/21,699.0,2/26/21,542.0,1/31/21,560.5555555555555,2/04/21
Colorado,51101.0,1/10/22,28568.666666666668,1/12/22,16330.142857142857,1/15/22,17481.222222222223,1/18/22,267.0,12/09/20,158.0,12/11/20,101.85714285714286,12/15/20,94.88888888888889,12/17/20
Connecticut,31405.0,1/10/22,15158.0,1/12/22,10178.57142857143,1/10/22,11297.666666666666,1/11/22,204.0,4/20/20,139.0,4/22/20,113.85714285714286,4/26/20,107.55555555555556,4/23/20
Delaware,4493.0,1/13/22,3791.3333333333335,1/14/22,3329.1428571428573,1/14/22,3277.1111111111113,1/15/22,130.0,7/30/21,45.0,7/31/21,19.285714285714285,7/31/21,15.333333333333334,1/15/22
District of Columbia,9201.0,1/03/22,4177.666666666667,1/05/22,2506.5714285714284,12/27/21,2880.8888888888887,1/04/22,19.0,4/30/20,13.666666666666666,4/24/20,12.142857142857142,4/30/20,12.444444444444445,4/30/20
Florida,150251.0,1/04/22,92116.33333333333,1/06/22,78449.42857142857,1/10/22,74288.55555555556,1/12/22,1554.0,9/16/21,662.0,9/17/21,418.14285714285717,9/13/21,480.3333333333333,9/24/21
Georgia,96320.0,1/10/22,46708.0,1/12/22,26483.285714285714,1/10/22,25733.0,1/18/22,480.0,11/03/20,193.0,11/05/20,139.28571428571428,1/20/21,145.55555555555554,9/23/21
Hawaii,6252.0,1/18/22,4943.333333333333,1/18/22,4401.428571428572,1/18/22,4179.333333333333,1/18/22,59.0,1/26/21,21.666666666666668,1/26/21,11.285714285714286,1/27/21,9.11111111111111,1/27/21
Idaho,3555.0,1/18/22,2808.3333333333335,1/14/22,1915.142857142857,1/15/22,1884.5555555555557,1/18/22,55.0,9/15/21,41.666666666666664,10/08/21,30.142857142857142,10/02/21,29.22222222222222,10/08/21
Illinois,93343.0,1/18/22,48632.333333333336,1/05/22,33269.857142857145,1/07/22,37648.0,1/11/22,266.0,12/02/20,227.66666666666666,12/11/20,183.57142857142858,12/11/20,190.44444444444446,12/10/20
Indiana,37331.0,1/10/22,21383.666666666668,1/12/22,13779.142857142857,1/14/22,16096.222222222223,1/18/22,189.0,2/04/21,140.33333333333334,1/12/22,105.57142857142857,1/12/22,105.66666666666667,1/12/22
Iowa,14109.0,1/15/22,7767.0,1/13/22,5440.714285714285,1/18/22,5648.333333333333,1/12/22,469.0,12/11/20,161.66666666666666,12/13/20,103.71428571428571,12/17/20,89.77777777777777,12/19/20
Kansas,39649.0,1/14/22,13982.666666666666,1/14/22,7928.571428571428,1/14/22,7946.222222222223,1/14/22,203.0,2/05/21,101.33333333333333,1/01/21,59.714285714285715,1/05/21,54.0,1/05/21
Kentucky,39357.0,1/18/22,13119.0,1/18/22,10388.142857142857,1/18/22,10980.222222222223,1/18/22,448.0,3/18/21,222.0,3/19/21,115.28571428571429,3/24/21,105.77777777777777,3/26/21
Louisiana,45783.0,1/14/22,16951.333333333332,1/05/22,12599.285714285714,1/15/22,13471.777777777777,1/11/22,223.0,9/01/21,116.0,9/03/21,65.85714285714286,4/18/20,71.33333333333333,8/25/21
Maine,2149.0,12/10/21,1628.0,12/10/21,1073.0,12/15/21,1119.111111111111,12/16/21,41.0,1/08/21,21.0,12/18/21,12.857142857142858,12/22/21,13.555555555555555,1/16/21
Maryland,36646.0,1/02/22,21797.0,1/04/22,16162.142857142857,1/08/22,15563.333333333334,1/10/22,544.0,5/27/21,187.66666666666666,5/28/21,91.57142857142857,1/03/22,82.0,1/05/22
Massachusetts,64715.0,1/10/22,36658.666666666664,1/12/22,24722.714285714286,1/11/22,24999.333333333332,1/11/22,302.0,4/19/20,218.0,4/23/20,189.42857142857142,4/25/20,188.77777777777777,4/29/20
Michigan,65557.0,1/03/22,32804.333333333336,1/05/22,20761.85714285714,1/07/22,21624.88888888889,1/10/22,444.0,12/22/21,236.33333333333334,12/03/21,141.85714285714286,4/28/20,140.88888888888889,4/17/20
Minnesota,29466.0,1/11/22,17223.0,1/13/22,10597.285714285714,1/14/22,9881.777777777777,1/14/22,140.0,3/09/21,88.33333333333333,12/11/20,66.57142857142857,12/16/20,70.11111111111111,12/17/20
Mississippi,22456.0,1/18/22,12927.0,1/13/22,6902.285714285715,1/18/22,7837.444444444444,1/18/22,124.0,9/06/21,82.33333333333333,9/08/21,53.714285714285715,9/14/21,57.888888888888886,9/14/21
Missouri,26220.0,1/04/22,17114.0,1/06/22,13237.285714285714,1/10/22,13163.666666666666,1/12/22,2441.0,12/02/21,835.3333333333334,12/02/21,366.0,12/08/21,291.8888888888889,12/08/21
Montana,3910.0,1/18/22,1927.6666666666667,1/14/22,1384.7142857142858,1/18/22,1458.3333333333333,1/18/22,55.0,10/18/21,33.666666666666664,12/02/21,18.571428571428573,12/06/21,19.666666666666668,10/26/21
Nebraska,8112.0,1/17/22,5345.666666666667,1/14/22,4158.857142857143,1/18/22,4074.3333333333335,1/18/22,408.0,9/28/21,142.33333333333334,9/30/21,65.42857142857143,10/01/21,50.888888888888886,10/01/21
Nevada,23571.0,1/17/22,8928.333333333334,1/12/22,6751.142857142857,1/17/22,7033.0,1/17/22,71.0,1/20/21,55.333333333333336,1/22/21,45.57142857142857,1/14/21,47.0,1/14/21
New Hampshire,14718.0,1/18/22,4933.666666666667,1/12/22,3497.714285714286,1/18/22,4004.8888888888887,1/18/22,31.0,1/04/22,24.333333333333332,12/29/21,13.285714285714286,1/09/21,14.11111111111111,1/04/22
New Jersey,38461.0,1/07/22,36003.333333333336,1/07/22,31699.428571428572,1/10/22,31901.0,1/07/22,1796.0,6/25/20,632.6666666666666,6/25/20,293.2857142857143,4/20/20,300.77777777777777,4/22/20
New Mexico,21253.0,1/18/22,7084.333333333333,1/18/22,5556.714285714285,1/18/22,5675.444444444444,1/18/22,114.0,5/24/21,44.333333333333336,12/11/20,36.714285714285715,12/17/20,38.55555555555556,12/17/20
New York,132093.0,1/03/22,86780.0,1/05/22,85013.57142857143,1/09/22,78372.11111111111,1/11/22,3263.0,4/16/20,2106.6666666666665,4/17/20,1328.4285714285713,4/17/20,1210.111111111111,4/17/20
North Carolina,119101.0,1/18/22,39700.333333333336,1/18/22,32162.571428571428,1/18/22,34891.444444444445,1/18/22,181.0,10/06/21,144.0,2/05/21,102.14285714285714,1/27/21,106.33333333333333,1/29/21
North Dakota,2915.0,1/12/22,2542.0,1/14/22,2085.714285714286,1/18/22,1852.7777777777778,1/18/22,58.0,12/09/20,34.0,12/11/20,20.285714285714285,12/15/20,19.555555555555557,12/17/20
Ohio,50299.0,1/15/22,39290.333333333336,1/16/22,28053.571428571428,1/17/22,25945.11111111111,1/17/22,211.0,12/16/20,209.33333333333334,12/18/20,199.57142857142858,12/22/20,196.22222222222223,12/22/20
Oklahoma,27754.0,1/17/22,14052.333333333334,1/17/22,10641.714285714286,1/17/22,11711.444444444445,1/18/22,1716.0,4/07/21,572.0,4/07/21,245.14285714285714,4/07/21,202.11111111111111,4/07/21
Oregon,28024.0,1/18/22,11748.333333333334,1/12/22,7923.428571428572,1/13/22,9079.444444444445,1/18/22,103.0,11/22/21,67.33333333333333,11/24/21,37.285714285714285,11/10/21,39.22222222222222,11/10/21
Pennsylvania,33650.0,1/08/22,30087.666666666668,1/08/22,28677.428571428572,1/12/22,28251.777777777777,1/13/22,387.0,1/20/21,298.6666666666667,12/31/20,221.57142857142858,1/15/21,239.22222222222223,1/14/21
Rhode Island,16228.0,1/04/22,9671.333333333334,1/06/22,6962.142857142857,1/10/22,6615.333333333333,1/12/22,30.0,12/13/20,23.0,12/13/20,22.142857142857142,12/13/20,20.666666666666668,12/13/20
South Carolina,72445.0,1/18/22,24148.333333333332,1/18/22,17566.714285714286,1/18/22,19702.0,1/18/22,241.0,2/01/21,121.33333333333333,1/29/21,105.71428571428571,2/02/21,101.0,2/04/21
South Dakota,4110.0,1/11/22,3134.0,1/13/22,1960.857142857143,1/14/22,1992.111111111111,1/12/22,54.0,11/28/20,38.666666666666664,12/04/20,26.285714285714285,12/03/20,27.88888888888889,11/22/20
Tennessee,77519.0,1/12/22,25839.666666666668,1/12/22,11977.285714285714,9/13/21,10685.0,9/15/21,2172.0,12/23/21,777.3333333333334,12/23/21,370.42857142857144,12/28/21,305.77777777777777,12/28/21
Texas,209270.0,1/15/22,106249.33333333333,1/17/22,75377.28571428571,1/17/22,68411.55555555556,1/17/22,1183.0,10/13/21,553.6666666666666,10/15/21,341.14285714285717,1/26/21,362.22222222222223,1/28/21
Utah,39882.0,1/18/22,14726.666666666666,1/12/22,10602.857142857143,1/18/22,12020.0,1/18/22,44.0,1/05/22,25.333333333333332,1/07/22,17.0,1/13/21,17.11111111111111,12/17/20
Vermont,5314.0,1/12/22,3212.6666666666665,1/14/22,2217.8571428571427,1/18/22,1874.0,1/16/22,9.0,1/03/22,5.333333333333333,12/16/21,3.2857142857142856,12/18/21,3.2222222222222223,12/16/21
Virginia,57703.0,1/10/22,31406.666666666668,1/12/22,18781.571428571428,1/13/22,20707.444444444445,1/18/22,383.0,3/03/21,258.0,3/03/21,217.0,3/03/21,204.44444444444446,3/03/21
Washington,64166.0,1/18/22,26038.666666666668,1/12/22,16254.857142857143,1/18/22,19394.555555555555,1/18/22,174.0,12/29/20,88.66666666666667,12/31/20,42.57142857142857,9/15/21,45.666666666666664,9/30/21
West Virginia,9164.0,1/03/22,5247.0,1/15/22,4359.857142857143,1/17/22,3936.3333333333335,1/16/22,173.0,3/12/21,64.0,3/14/21,33.57142857142857,3/17/21,32.55555555555556,10/08/21
Wisconsin,83187.0,1/17/22,34242.0,1/18/22,23722.428571428572,1/18/22,23808.0,1/18/22,164.0,11/12/20,97.33333333333333,11/12/20,68.42857142857143,12/07/20,72.0,12/09/20
Wyoming,4085.0,1/18/22,1361.6666666666667,1/18/22,1114.142857142857,1/18/22,1188.4444444444443,1/18/22,81.0,11/30/21,27.0,11/30/21,13.0,11/09/21,13.88888888888889,12/07/21
