,State,Peak1DayCases,Peak1DayCasesDate,Peak3DayAvgCases,Peak3DayAvgCasesDate,Peak7DayAvgCases,Peak7DayAvgCasesDate,Peak9DayAvgCases,Peak9DayAvgCasesDate,Peak1DayDeaths,Peak1DayDeathsDate,Peak3DayAvgDeaths,Peak3DayAvgDeathsDate,Peak7DayAvgDeaths,Peak7DayAvgDeathsDate,Peak9DayAvgDeaths,Peak9DayAvgDeathsDate
0,Alabama,678.0,6/01/20,533.0,6/01/20,520.5714285714286,6/01/20,501.44444444444446,6/01/20,32.0,5/12/20,23.666666666666668,5/07/20,17.142857142857142,5/12/20,17.555555555555557,5/14/20
1,Alaska,27.0,3/28/20,18.666666666666668,3/30/20,14.571428571428571,6/06/20,14.11111111111111,4/05/20,2.0,4/04/20,1.0,4/05/20,0.5714285714285714,4/05/20,0.5555555555555556,4/05/20
2,Arizona,1553.0,6/05/20,1367.6666666666667,6/07/20,1007.5714285714286,6/07/20,946.3333333333334,6/07/20,67.0,5/08/20,40.666666666666664,5/08/20,28.857142857142858,5/09/20,25.88888888888889,5/13/20
3,Arkansas,455.0,5/21/20,344.6666666666667,6/06/20,310.42857142857144,6/07/20,294.3333333333333,6/07/20,9.0,6/04/20,6.0,6/04/20,4.285714285714286,5/06/20,4.0,5/06/20
4,California,3570.0,6/05/20,3081.6666666666665,6/06/20,2730.8571428571427,6/05/20,2753.3333333333335,6/06/20,139.0,4/22/20,113.0,4/24/20,83.42857142857143,4/24/20,85.11111111111111,4/23/20
5,Colorado,978.0,4/24/20,721.0,4/26/20,592.7142857142857,4/27/20,558.6666666666666,4/29/20,122.0,4/24/20,63.666666666666664,4/24/20,43.142857142857146,4/24/20,38.44444444444444,4/24/20
6,Connecticut,2109.0,4/22/20,1502.3333333333333,4/22/20,1102.0,4/22/20,1020.1111111111111,4/24/20,204.0,4/20/20,139.0,4/22/20,113.85714285714286,4/26/20,107.55555555555556,4/23/20
7,Delaware,458.0,4/26/20,333.0,4/28/20,234.85714285714286,4/28/20,226.33333333333334,4/28/20,15.0,5/16/20,13.0,5/16/20,10.285714285714286,5/18/20,9.444444444444445,5/20/20
8,District of Columbia,335.0,5/01/20,231.0,5/03/20,193.57142857142858,5/06/20,199.22222222222223,5/08/20,19.0,4/30/20,13.666666666666666,4/24/20,12.142857142857142,4/30/20,12.444444444444445,4/30/20
9,Florida,2052.0,4/02/20,1527.0,4/04/20,1214.2857142857142,4/08/20,1175.0,4/10/20,94.0,4/23/20,67.0,5/07/20,50.714285714285715,5/08/20,50.111111111111114,5/06/20
10,Georgia,1525.0,4/17/20,1084.6666666666667,4/08/20,889.5714285714286,4/22/20,881.2222222222222,4/14/20,100.0,4/07/20,61.666666666666664,4/29/20,44.285714285714285,4/20/20,42.55555555555556,4/22/20
11,Hawaii,63.0,4/03/20,42.333333333333336,4/04/20,31.714285714285715,4/05/20,29.444444444444443,4/05/20,2.0,4/03/20,1.0,4/03/20,0.8571428571428571,4/27/20,0.7777777777777778,4/11/20
12,Idaho,210.0,4/02/20,152.0,4/04/20,113.85714285714286,4/05/20,98.77777777777777,4/07/20,6.0,4/10/20,4.666666666666667,4/16/20,3.4285714285714284,4/15/20,3.2222222222222223,4/15/20
13,Illinois,4014.0,5/12/20,2976.6666666666665,5/14/20,2564.714285714286,5/07/20,2600.222222222222,5/08/20,191.0,5/13/20,156.33333333333334,5/14/20,116.85714285714286,5/13/20,125.88888888888889,5/13/20
14,Indiana,949.0,4/27/20,760.0,4/27/20,707.0,5/01/20,695.1111111111111,5/02/20,166.0,5/06/20,91.33333333333333,5/01/20,62.0,5/01/20,59.22222222222222,5/06/20
15,Iowa,759.0,5/02/20,676.6666666666666,5/03/20,559.1428571428571,5/07/20,525.5555555555555,5/03/20,26.0,5/20/20,19.0,5/22/20,15.714285714285714,5/26/20,15.666666666666666,5/27/20
16,Kansas,574.0,4/30/20,348.6666666666667,5/02/20,307.7142857142857,5/06/20,314.22222222222223,5/08/20,13.0,4/11/20,8.0,4/21/20,5.857142857142857,4/22/20,5.888888888888889,4/21/20
17,Kentucky,577.0,5/05/20,314.3333333333333,5/05/20,226.14285714285714,6/06/20,233.55555555555554,6/06/20,20.0,4/07/20,14.0,5/20/20,10.0,4/22/20,9.444444444444445,4/23/20
18,Louisiana,2725.0,4/02/20,2024.0,4/04/20,1578.142857142857,4/07/20,1449.5555555555557,4/09/20,129.0,4/14/20,90.66666666666667,4/16/20,65.85714285714286,4/18/20,65.66666666666667,4/15/20
19,Maine,78.0,5/20/20,69.0,5/22/20,52.57142857142857,5/24/20,50.22222222222222,5/24/20,5.0,4/23/20,3.6666666666666665,4/24/20,2.5714285714285716,4/24/20,2.6666666666666665,4/23/20
20,Maryland,1784.0,5/19/20,1256.3333333333333,5/21/20,1090.2857142857142,5/07/20,1088.0,5/09/20,171.0,5/02/20,82.66666666666667,4/20/20,68.57142857142857,5/08/20,64.0,4/26/20
21,Massachusetts,4946.0,4/24/20,3468.0,4/25/20,2626.4285714285716,4/27/20,2465.3333333333335,4/29/20,302.0,4/19/20,218.0,4/23/20,189.42857142857142,4/25/20,188.77777777777777,4/29/20
22,Michigan,5888.0,6/07/20,2057.3333333333335,6/07/20,1622.142857142857,4/07/20,1543.2222222222222,4/09/20,282.0,6/07/20,170.0,4/24/20,141.85714285714286,4/28/20,140.88888888888889,4/17/20
23,Minnesota,840.0,5/23/20,791.0,5/24/20,706.1428571428571,5/25/20,712.2222222222222,5/23/20,35.0,5/28/20,32.666666666666664,5/29/20,25.0,5/30/20,24.444444444444443,5/28/20
24,Mississippi,436.0,5/30/20,395.0,5/30/20,330.0,6/02/20,334.1111111111111,5/30/20,32.0,5/05/20,28.666666666666668,5/07/20,19.285714285714285,5/07/20,17.77777777777778,5/09/20
